1/23/20	1	1
1/24/20	1	0
1/25/20	2	1
1/26/20	2	0
1/27/20	5	3
1/28/20	5	0
1/29/20	5	0
1/30/20	5	0
1/31/20	6	1
2/1/20	7	1
2/2/20	8	1
2/3/20	11	3
2/4/20	11	0
2/5/20	11	0
2/6/20	12	1
2/7/20	12	0
2/8/20	12	0
2/9/20	12	0
2/10/20	12	0
2/11/20	13	1
2/12/20	13	0
2/13/20	14	1
2/14/20	15	1
2/15/20	15	0
2/16/20	15	0
2/17/20	15	0
2/18/20	15	0
2/19/20	15	0
2/20/20	15	0
2/21/20	15	0
2/22/20	35	20
2/23/20	35	0
2/24/20	35	0
2/25/20	53	18
2/26/20	53	0
2/27/20	59	6
2/28/20	59	0
2/29/20	62	3
3/1/20	62	0
3/2/20	62	0
3/3/20	64	2
3/4/20	108	44
3/5/20	129	21
3/6/20	148	19
3/7/20	213	65
3/8/20	213	0
3/9/20	213	0
3/10/20	472	259
3/11/20	696	224
3/12/20	987	291
3/13/20	1264	277
3/14/20	1678	414
3/15/20	1678	0
3/16/20	1678	0
3/17/20	3503	1825
3/18/20	3536	33
3/19/20	7087	3551
3/20/20	10442	3355
3/21/20	15219	4777
3/22/20	15219	0
3/23/20	31573	16354
3/24/20	42164	10591
3/25/20	51914	9750
3/26/20	63570	11656
3/27/20	68334	4764
3/28/20	85228	16894
3/29/20	103321	18093
3/30/20	122653	19332
3/31/20	140640	17987
4/1/20	163199	22559
4/2/20	187320	24121
4/3/20	213600	26280
4/4/20	241703	28103
4/5/20	273808	32105
4/6/20	307318	33510
4/7/20	333811	26493
4/8/20	363321	29510
4/9/20	395030	31709
4/10/20	425889	30859
4/11/20	461275	35386
4/12/20	492881	31606
4/13/20	524514	31633
4/14/20	553882	29368
4/15/20	578268	24386
4/16/20	604070	25802
4/17/20	632781	28711
4/18/20	665330	32549
4/19/20	695353	30023
4/20/20	723605	28252
4/21/20	751273	27668
4/22/20	776907	25634
4/23/20	800926	24019
4/24/20	830053	29127
4/25/20	860772	30719
4/26/20	899281	38509
4/27/20	931698	32417
4/28/20	960916	29218
4/29/20	983457	22541
4/30/20	1003974	20517
5/1/20	1035353	31379
5/2/20	1067127	31774
5/3/20	1093880	26753
5/4/20	1125719	31839
5/5/20	1154985	29266
5/6/20	1171185	16200
5/7/20	1193452	22267
5/8/20	1215571	22119
5/9/20	1245874	30303
5/10/20	1245775	-99
5/11/20	1271645	25870
5/12/20	1298287	26642
5/13/20	1322054	23767
5/14/20	1340098	18044
5/15/20	1361522	21424
5/16/20	1382362	20840
5/17/20	1409452	27090
5/18/20	1432265	22813
5/19/20	1477516	45251
5/20/20	1477459	-57
5/21/20	1501876	24417
5/22/20	1525186	23310
5/23/20	1547973	22787
5/24/20	1568448	20475
5/25/20	1592599	24151
5/26/20	1618757	26158
5/27/20	1634010	15253
5/28/20	1658896	24886
5/29/20	1675258	16362
5/30/20	1694864	19606
5/31/20	1716078	21214
6/1/20	1734040	17962
6/2/20	1783638	49598
6/3/20	1798330	14692
6/4/20	1823220	24890
6/5/20	1837803	14583
6/6/20	1857872	20069
6/7/20	1886794	28922
6/8/20	1915712	28918
6/9/20	1933560	17848
6/10/20	1951096	17536
6/11/20	1968331	17235
6/12/20	1988646	20315
6/13/20	2010391	21745
6/14/20	2032524	22133
6/15/20	2057838	25314
6/16/20	2079592	21754
6/17/20	2098106	18514
6/18/20	2126027	27921
6/19/20	2149166	23139
