2/26/20	1	1
2/27/20	1	0
2/28/20	1	0
2/29/20	2	1
3/1/20	2	0
3/2/20	2	0
3/3/20	2	0
3/4/20	4	2
3/5/20	4	0
3/6/20	13	9
3/7/20	13	0
3/8/20	20	7
3/9/20	25	5
3/10/20	31	6
3/11/20	38	7
3/12/20	52	14
3/13/20	151	99
3/14/20	151	0
3/15/20	162	11
3/16/20	200	38
3/17/20	321	121
3/18/20	372	51
3/19/20	621	249
3/20/20	793	172
3/21/20	1021	228
3/22/20	1546	525
3/23/20	1924	378
3/24/20	2247	323
3/25/20	2554	307
3/26/20	2985	431
3/27/20	3417	432
3/28/20	3904	487
3/29/20	4256	352
3/30/20	4579	323
3/31/20	5717	1138
4/1/20	6836	1119
4/2/20	8044	1208
4/3/20	9056	1012
4/4/20	10360	1304
4/5/20	11130	770
4/6/20	12161	1031
4/7/20	14034	1873
4/8/20	16170	2136
4/9/20	18092	1922
4/10/20	19638	1546
4/11/20	20727	1089
4/12/20	22192	1465
4/13/20	23430	1238
4/14/20	25262	1832
4/15/20	28320	3058
4/16/20	30425	2105
4/17/20	33682	3257
4/18/20	36658	2976
4/19/20	38654	1996
4/20/20	40743	2089
4/21/20	43079	2336
4/22/20	45757	2678
4/23/20	50036	4279
4/24/20	54043	4007
4/25/20	59324	5281
4/26/20	63100	3776
4/27/20	67446	4346
4/28/20	73235	5789
4/29/20	79685	6450
4/30/20	87187	7502
5/1/20	92202	5015
5/2/20	97100	4898
5/3/20	101826	4726
5/4/20	108620	6794
5/5/20	115455	6835
5/6/20	126611	11156
5/7/20	135773	9162
5/8/20	146894	11121
5/9/20	156061	9167
5/10/20	162699	6638
5/11/20	169594	6895
5/12/20	178214	8620
5/13/20	190137	11923
5/14/20	203165	13028
5/15/20	220291	17126
5/16/20	233511	13220
5/17/20	241080	7569
5/18/20	255368	14288
5/19/20	271885	16517
5/20/20	291579	19694
5/21/20	310087	18508
5/22/20	330890	20803
5/23/20	347398	16508
5/24/20	363211	15813
5/25/20	374898	11687
5/26/20	391222	16324
5/27/20	411821	20599
5/28/20	438238	26417
5/29/20	465166	26928
5/30/20	498440	33274
5/31/20	514849	16409
6/1/20	526447	11598
6/2/20	555383	28936
6/3/20	584016	28633
6/4/20	614941	30925
6/5/20	645771	30830
6/6/20	672846	27075
6/7/20	691758	18912
6/8/20	707412	15654
6/9/20	739503	32091
6/10/20	772416	32913
6/11/20	802828	30412
6/12/20	828810	25982
6/13/20	850514	21704
6/14/20	867624	17110
6/15/20	888271	20647
6/16/20	923189	34918
6/17/20	955377	32188
6/18/20	978142	22765
6/19/20	1032913	54771
6/20/20	1067579	34666
6/21/20	1083341	15762
6/22/20	1106470	23129
6/23/20	1145906	39436
6/24/20	1188631	42725
6/25/20	1228114	39483
6/26/20	1274974	46860
6/27/20	1313667	38693
6/28/20	1344143	30476
6/29/20	1368195	24052
6/30/20	1402041	33846
7/1/20	1448753	46712
7/2/20	1496858	48105
7/3/20	1539081	42223
7/4/20	1577004	37923
7/5/20	1603055	26051
7/6/20	1623284	20229
